id,company_name,city,state,project_focus,company_scale,procurement_contact,phone,email,estimated_annual_paint_liters,verified_status
7764,"Belagavi Q Projects India","Belagavi","Karnataka","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700038843,purchase@belagaviqprojecbuild.in,98000,"Verified RERA Active"
7765,"Tiruppur R Buildtech India Pvt Ltd","Tiruppur","Tamil Nadu","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038848,purchase@tiruppurrbuildtbuild.in,98750,"Verified RERA Active"
7766,"Nizamabad S Civil Engineering Developers","Nizamabad","Telangana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700038853,purchase@nizamabadscivilbuild.in,99500,"Verified RERA Active"
7767,"Kakinada T Living Spaces LLP","Kakinada","Andhra Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700038858,purchase@kakinadatlivingbuild.in,100250,"Verified RERA Active"
7768,"Thiruvananthapuram U Projects India","Thiruvananthapuram","Kerala","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038863,purchase@thiruvananthapubuild.in,101000,"Verified RERA Active"
7769,"Howrah V Buildtech India Pvt Ltd","Howrah","West Bengal","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038868,purchase@howrahvbuildtecbuild.in,101750,"Verified RERA Active"
7770,"Bhagalpur W Civil Engineering Developers","Bhagalpur","Bihar","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700038873,purchase@bhagalpurwcivilbuild.in,102500,"Verified RERA Active"
7771,"Cuttack X Civil Engineering Developers","Cuttack","Odisha","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700038878,purchase@cuttackxcivilenbuild.in,103250,"Verified RERA Active"
7772,"Dhanbad Y Living Spaces LLP","Dhanbad","Jharkhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038883,purchase@dhanbadylivingsbuild.in,104000,"Verified RERA Active"
7773,"Agartala Z Projects India","Agartala","Assam & NE","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700038888,purchase@agartalazprojecbuild.in,104750,"Verified RERA Active"
7774,"Faridabad A Buildtech India Pvt Ltd","Faridabad","Delhi NCR","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038893,purchase@faridabadabuildbuild.in,105500,"Verified RERA Active"
7775,"Moradabad B Civil Engineering Developers","Moradabad","Uttar Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038898,purchase@moradabadbcivilbuild.in,106250,"Verified RERA Active"
7776,"Sri C Living Spaces LLP","Sri Ganganagar","Rajasthan","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700038903,purchase@sriclivingspacebuild.in,107000,"Verified RERA Active"
7777,"Ambala D Projects India","Ambala","Haryana","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038908,purchase@ambaladprojectsbuild.in,107750,"Verified RERA Active"
7778,"Jalandhar E Buildtech India Pvt Ltd","Jalandhar","Punjab","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038913,purchase@jalandharebuildbuild.in,108500,"Verified RERA Active"
7779,"Haldwani F Civil Engineering Developers","Haldwani","Uttarakhand","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700038918,purchase@haldwanifcivilebuild.in,109250,"Verified RERA Active"
7780,"Baddi G Living Spaces LLP","Baddi Industrial Zone","Himachal Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038923,purchase@baddiglivingspabuild.in,110000,"Verified RERA Active"
7781,"Udhampur H Living Spaces LLP","Udhampur","Jammu & Kashmir","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700038928,purchase@udhampurhlivingbuild.in,110750,"Verified RERA Active"
7782,"Nagpur I Projects India","Nagpur","Maharashtra","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700038933,purchase@nagpuriprojectsbuild.in,111500,"Verified RERA Active"
7783,"Vapi J Buildtech India Pvt Ltd","Vapi","Gujarat","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038938,purchase@vapijbuildtechibuild.in,112250,"Verified RERA Active"
7784,"Ratlam K Civil Engineering Developers","Ratlam","Madhya Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038943,purchase@ratlamkcivilengbuild.in,113000,"Verified RERA Active"
7785,"Korba L Living Spaces LLP","Korba","Chhattisgarh","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700038948,purchase@korballivingspabuild.in,113750,"Verified RERA Active"
7786,"Margao M Projects India","Margao","Goa","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700038953,purchase@margaomprojectsbuild.in,114500,"Verified RERA Active"
7787,"Mangaluru N Buildtech India Pvt Ltd","Mangaluru","Karnataka","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038958,purchase@mangalurunbuildbuild.in,115250,"Verified RERA Active"
7788,"Salem O Civil Engineering Developers","Salem","Tamil Nadu","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700038963,purchase@salemocivilengibuild.in,116000,"Verified RERA Active"
7789,"Warangal P Living Spaces LLP","Warangal","Telangana","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038968,purchase@warangalplivingbuild.in,116750,"Verified RERA Active"
7790,"Tirupati Q Projects India","Tirupati","Andhra Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038973,purchase@tirupatiqprojecbuild.in,117500,"Verified RERA Active"
7791,"Palakkad R Projects India","Palakkad","Kerala","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700038978,purchase@palakkadrprojecbuild.in,118250,"Verified RERA Active"
7792,"Kolkata S Buildtech India Pvt Ltd","Kolkata","West Bengal","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038983,purchase@kolkatasbuildtebuild.in,119000,"Verified RERA Active"
7793,"Gaya T Civil Engineering Developers","Gaya","Bihar","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038988,purchase@gayatcivilenginbuild.in,119750,"Verified RERA Active"
7794,"Berhampur U Living Spaces LLP","Berhampur","Odisha","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700038993,purchase@berhampurulivinbuild.in,120500,"Verified RERA Active"
7795,"Jamshedpur V Projects India","Jamshedpur","Jharkhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038998,purchase@jamshedpurvprojbuild.in,121250,"Verified RERA Active"
7796,"Dibrugarh W Buildtech India Pvt Ltd","Dibrugarh","Assam & NE","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700039003,purchase@dibrugarhwbuildbuild.in,122000,"Verified RERA Active"
7797,"Greater X Civil Engineering Developers","Greater Noida","Delhi NCR","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700039008,purchase@greaterxcivilenbuild.in,122750,"Verified RERA Active"
7798,"Saharanpur Y Living Spaces LLP","Saharanpur","Uttar Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700039013,purchase@saharanpurylivibuild.in,123500,"Verified RERA Active"
7799,"Jaipur Z Projects India","Jaipur","Rajasthan","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700039018,purchase@jaipurzprojectsbuild.in,124250,"Verified RERA Active"
7800,"Panipat A Buildtech India Pvt Ltd","Panipat","Haryana","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700039023,purchase@panipatabuildtebuild.in,125000,"Verified RERA Active"
7801,"Amritsar B Buildtech India Pvt Ltd","Amritsar","Punjab","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700039028,purchase@amritsarbbuildtbuild.in,125750,"Verified RERA Active"
7802,"Roorkee C Civil Engineering Developers","Roorkee","Uttarakhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700039033,purchase@roorkeeccivilenbuild.in,126500,"Verified RERA Active"
7803,"Mandi D Living Spaces LLP","Mandi","Himachal Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700039038,purchase@mandidlivingspabuild.in,127250,"Verified RERA Active"
7804,"Kathua E Projects India","Kathua","Jammu & Kashmir","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700039043,purchase@kathuaeprojectsbuild.in,128000,"Verified RERA Active"
7805,"Aurangabad F Buildtech India Pvt Ltd","Aurangabad","Maharashtra","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700039048,purchase@aurangabadfbuilbuild.in,128750,"Verified RERA Active"
7806,"Rajkot G Civil Engineering Developers","Rajkot","Gujarat","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700039053,purchase@rajkotgcivilengbuild.in,129500,"Verified RERA Active"
7807,"Ujjain H Living Spaces LLP","Ujjain","Madhya Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700039058,purchase@ujjainhlivingspbuild.in,130250,"Verified RERA Active"
7808,"Bilaspur I Projects India","Bilaspur","Chhattisgarh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700039063,purchase@bilaspuriprojecbuild.in,131000,"Verified RERA Active"
7809,"Ponda J Buildtech India Pvt Ltd","Ponda","Goa","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700039068,purchase@pondajbuildtechbuild.in,131750,"Verified RERA Active"
7810,"Hubballi-Dharwad K Civil Engineering Developers","Hubballi-Dharwad","Karnataka","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700039073,purchase@hubballidharwadbuild.in,132500,"Verified RERA Active"
7811,"Tiruchirappalli L Civil Engineering Developers","Tiruchirappalli","Tamil Nadu","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700039078,purchase@tiruchirappallibuild.in,133250,"Verified RERA Active"
7812,"Hyderabad M Living Spaces LLP","Hyderabad","Telangana","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700039083,purchase@hyderabadmlivinbuild.in,134000,"Verified RERA Active"
7813,"Rajahmundry N Projects India","Rajahmundry","Andhra Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700039088,purchase@rajahmundrynprobuild.in,134750,"Verified RERA Active"
7814,"Alappuzha O Buildtech India Pvt Ltd","Alappuzha","Kerala","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700039093,purchase@alappuzhaobuildbuild.in,135500,"Verified RERA Active"
7815,"Kharagpur P Civil Engineering Developers","Kharagpur","West Bengal","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700039098,purchase@kharagpurpcivilbuild.in,136250,"Verified RERA Active"
7816,"Patna Q Living Spaces LLP","Patna","Bihar","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700039103,purchase@patnaqlivingspabuild.in,137000,"Verified RERA Active"
7817,"Puri R Projects India","Puri","Odisha","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700039108,purchase@purirprojectsinbuild.in,137750,"Verified RERA Active"
7818,"Ranchi S Buildtech India Pvt Ltd","Ranchi","Jharkhand","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700039113,purchase@ranchisbuildtecbuild.in,138500,"Verified RERA Active"
7819,"Imphal T Civil Engineering Developers","Imphal","Assam & NE","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700039118,purchase@imphaltcivilengbuild.in,139250,"Verified RERA Active"
7820,"Noida U Living Spaces LLP","Noida","Delhi NCR","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700039123,purchase@noidaulivingspabuild.in,140000,"Verified RERA Active"
7821,"Lucknow V Living Spaces LLP","Lucknow","Uttar Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700039128,purchase@lucknowvlivingsbuild.in,140750,"Verified RERA Active"
7822,"Jodhpur W Projects India","Jodhpur","Rajasthan","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700039133,purchase@jodhpurwprojectbuild.in,141500,"Verified RERA Active"
7823,"Panchkula X Buildtech India Pvt Ltd","Panchkula","Haryana","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700039138,purchase@panchkulaxbuildbuild.in,142250,"Verified RERA Active"
7824,"Ludhiana Y Civil Engineering Developers","Ludhiana","Punjab","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700039143,purchase@ludhianaycivilebuild.in,143000,"Verified RERA Active"
7825,"Haridwar Z Living Spaces LLP","Haridwar","Uttarakhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700039148,purchase@haridwarzlivingbuild.in,143750,"Verified RERA Active"
7826,"Solan A Projects India","Solan","Himachal Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700039153,purchase@solanaprojectsibuild.in,144500,"Verified RERA Active"
7827,"Baramulla B Buildtech India Pvt Ltd","Baramulla","Jammu & Kashmir","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700039158,purchase@baramullabbuildbuild.in,145250,"Verified RERA Active"
7828,"Navi C Civil Engineering Developers","Navi Mumbai","Maharashtra","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700039163,purchase@naviccivilenginbuild.in,146000,"Verified RERA Active"
