id,company_name,district_hq,project_types,company_scale,purchase_contact_person,phone,email,estimated_annual_paint_requirement_liters
414,"Jodhpur Y Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829012898,procurement@jodhpurbuild414.in,74900
415,"Udaipur Z Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829012905,procurement@udaipurbuild415.in,75250
416,"Kota A Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829012912,procurement@kotabuild416.in,75600
417,"Alwar B Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829012919,procurement@alwarbuild417.in,75950
418,"Ajmer C Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829012926,procurement@ajmerbuild418.in,76300
419,"Bhilwara D Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829012933,procurement@bhilwarabuild419.in,76650
420,"Jaipur E Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829012940,procurement@jaipurbuild420.in,77000
421,"Jodhpur F Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829012947,procurement@jodhpurbuild421.in,77350
422,"Udaipur G Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829012954,procurement@udaipurbuild422.in,77700
423,"Kota H Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829012961,procurement@kotabuild423.in,78050
424,"Alwar I Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829012968,procurement@alwarbuild424.in,78400
425,"Ajmer J Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829012975,procurement@ajmerbuild425.in,78750
426,"Bhilwara K Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829012982,procurement@bhilwarabuild426.in,79100
427,"Jaipur L Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829012989,procurement@jaipurbuild427.in,79450
428,"Jodhpur M Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829012996,procurement@jodhpurbuild428.in,79800
429,"Udaipur N Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829013003,procurement@udaipurbuild429.in,80150
430,"Kota O Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829013010,procurement@kotabuild430.in,80500
431,"Alwar P Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829013017,procurement@alwarbuild431.in,80850
432,"Ajmer Q Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829013024,procurement@ajmerbuild432.in,81200
433,"Bhilwara R Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829013031,procurement@bhilwarabuild433.in,81550
434,"Jaipur S Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829013038,procurement@jaipurbuild434.in,81900
435,"Jodhpur T Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829013045,procurement@jodhpurbuild435.in,82250
436,"Udaipur U Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829013052,procurement@udaipurbuild436.in,82600
437,"Kota V Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829013059,procurement@kotabuild437.in,82950
438,"Alwar W Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829013066,procurement@alwarbuild438.in,83300
439,"Ajmer X Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829013073,procurement@ajmerbuild439.in,83650
440,"Bhilwara Y Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829013080,procurement@bhilwarabuild440.in,84000
441,"Jaipur Z Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829013087,procurement@jaipurbuild441.in,84350
442,"Jodhpur A Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829013094,procurement@jodhpurbuild442.in,84700
443,"Udaipur B Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829013101,procurement@udaipurbuild443.in,85050
444,"Kota C Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829013108,procurement@kotabuild444.in,85400
445,"Alwar D Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829013115,procurement@alwarbuild445.in,85750
446,"Ajmer E Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829013122,procurement@ajmerbuild446.in,86100
447,"Bhilwara F Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829013129,procurement@bhilwarabuild447.in,86450
448,"Jaipur G Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829013136,procurement@jaipurbuild448.in,86800
449,"Jodhpur H Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829013143,procurement@jodhpurbuild449.in,87150
450,"Udaipur I Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829013150,procurement@udaipurbuild450.in,87500
451,"Kota J Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829013157,procurement@kotabuild451.in,87850
452,"Alwar K Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829013164,procurement@alwarbuild452.in,88200
453,"Ajmer L Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829013171,procurement@ajmerbuild453.in,88550
454,"Bhilwara M Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829013178,procurement@bhilwarabuild454.in,88900
455,"Jaipur N Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829013185,procurement@jaipurbuild455.in,89250
456,"Jodhpur O Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829013192,procurement@jodhpurbuild456.in,89600
457,"Udaipur P Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829013199,procurement@udaipurbuild457.in,89950
458,"Kota Q Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829013206,procurement@kotabuild458.in,90300
459,"Alwar R Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829013213,procurement@alwarbuild459.in,90650
460,"Ajmer S Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829013220,procurement@ajmerbuild460.in,91000
461,"Bhilwara T Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829013227,procurement@bhilwarabuild461.in,91350
462,"Jaipur U Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829013234,procurement@jaipurbuild462.in,91700
463,"Jodhpur V Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829013241,procurement@jodhpurbuild463.in,92050
464,"Udaipur W Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829013248,procurement@udaipurbuild464.in,92400
465,"Kota X Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829013255,procurement@kotabuild465.in,92750
466,"Alwar Y Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829013262,procurement@alwarbuild466.in,93100
467,"Ajmer Z Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829013269,procurement@ajmerbuild467.in,93450
468,"Bhilwara A Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829013276,procurement@bhilwarabuild468.in,93800
469,"Jaipur B Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829013283,procurement@jaipurbuild469.in,94150
470,"Jodhpur C Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829013290,procurement@jodhpurbuild470.in,94500
471,"Udaipur D Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829013297,procurement@udaipurbuild471.in,94850
472,"Kota E Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829013304,procurement@kotabuild472.in,95200
473,"Alwar F Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829013311,procurement@alwarbuild473.in,95550
474,"Ajmer G Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829013318,procurement@ajmerbuild474.in,95900
475,"Bhilwara H Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829013325,procurement@bhilwarabuild475.in,96250
476,"Jaipur I Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829013332,procurement@jaipurbuild476.in,96600
477,"Jodhpur J Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829013339,procurement@jodhpurbuild477.in,96950
478,"Udaipur K Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829013346,procurement@udaipurbuild478.in,97300
479,"Kota L Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829013353,procurement@kotabuild479.in,97650
480,"Alwar M Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829013360,procurement@alwarbuild480.in,98000
481,"Ajmer N Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829013367,procurement@ajmerbuild481.in,98350
482,"Bhilwara O Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829013374,procurement@bhilwarabuild482.in,98700
483,"Jaipur P Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829013381,procurement@jaipurbuild483.in,99050
484,"Jodhpur Q Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829013388,procurement@jodhpurbuild484.in,99400
485,"Udaipur R Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829013395,procurement@udaipurbuild485.in,99750
486,"Kota S Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829013402,procurement@kotabuild486.in,15100
487,"Alwar T Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829013409,procurement@alwarbuild487.in,15450
488,"Ajmer U Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829013416,procurement@ajmerbuild488.in,15800
489,"Bhilwara V Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829013423,procurement@bhilwarabuild489.in,16150
490,"Jaipur W Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829013430,procurement@jaipurbuild490.in,16500
491,"Jodhpur X Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829013437,procurement@jodhpurbuild491.in,16850
492,"Udaipur Y Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829013444,procurement@udaipurbuild492.in,17200
493,"Kota Z Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829013451,procurement@kotabuild493.in,17550
494,"Alwar A Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829013458,procurement@alwarbuild494.in,17900
495,"Ajmer B Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829013465,procurement@ajmerbuild495.in,18250
496,"Bhilwara C Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829013472,procurement@bhilwarabuild496.in,18600
497,"Jaipur D Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829013479,procurement@jaipurbuild497.in,18950
498,"Jodhpur E Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829013486,procurement@jodhpurbuild498.in,19300
499,"Udaipur F Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829013493,procurement@udaipurbuild499.in,19650
500,"Kota G Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829013500,procurement@kotabuild500.in,20000
