id,shop_name,owner_name,phone,city,market_area,full_address,business_type,estimated_monthly_bags
534,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010534,Jaipur,"Vaishali Nagar","Plot 44, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,288
535,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010535,Sikar,"Piprali Road","Plot 45, Main Market, Piprali Road, Sikar, Rajasthan",Paint Retailer,295
536,"Mittal Balaji Color World",Ashok Mittal,+919414010536,Jhunjhunu,"Mandawa Road","Plot 46, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,302
537,"Neemrana Industrial Zone Vijay Paint & Plywood Stores",Kamal Verma,+919414010537,Alwar,"Neemrana Industrial Zone","Plot 47, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Building Material Stockist,309
538,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010538,Ajmer,"Parbatpura Industrial Area","Plot 48, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,316
539,"Gopal National Hardware & Paints",Gopal Sharma,+919414010539,Kota,"DCM Road","Plot 49, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,323
540,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010540,Jaipur,"Mansarovar","Plot 50, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,330
541,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010541,Sikar,"Fatehpur Road","Plot 51, Main Market, Fatehpur Road, Sikar, Rajasthan",Hardware & Sanitary,337
542,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010542,Jhunjhunu,"Road No 1","Plot 52, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,344
543,"Delhi Gate Hardware & Building Materials",Mukesh Gupta,+919414010543,Alwar,"Delhi Gate","Plot 53, Main Market, Delhi Gate, Alwar, Rajasthan",Exclusive Coating Dealer,351
544,"Yadav Krishna Paint House",Ramesh Yadav,+919414010544,Ajmer,"Parbatpura Industrial Area","Plot 54, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,358
545,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010545,Kota,"DCM Road","Plot 55, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,365
546,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010546,Jaipur,"Malviya Nagar","Plot 56, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,372
547,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010547,Sikar,"Bajoria Road","Plot 57, Main Market, Bajoria Road, Sikar, Rajasthan",Building Material Stockist,379
548,"Jain Laxmi Paint Center",Pankaj Jain,+919414010548,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 58, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,386
549,"Hope Circus Royal Paints & Texture Mart",Vinod Prajapat,+919414010549,Alwar,"Hope Circus","Plot 59, Main Market, Hope Circus, Alwar, Rajasthan",Texture & Putty Specialist,393
550,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010550,Ajmer,"Parbatpura Industrial Area","Plot 60, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,50
551,"Ashok Balaji Color World",Ashok Mittal,+919414010551,Kota,"DCM Road","Plot 61, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,57
552,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010552,Jaipur,"Sanganer Market","Plot 62, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,64
553,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010553,Sikar,"Station Road","Plot 63, Main Market, Station Road, Sikar, Rajasthan",Exclusive Coating Dealer,71
554,"Sharma National Hardware & Paints",Gopal Sharma,+919414010554,Jhunjhunu,"Peeru Singh Circle","Plot 64, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,78
555,"Company Bagh Road Paint & Hardware Store",Rajesh Sharma,+919414010555,Alwar,"Company Bagh Road","Plot 65, Main Market, Company Bagh Road, Alwar, Rajasthan",Paint Retailer,85
556,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010556,Ajmer,"Parbatpura Industrial Area","Plot 66, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,92
557,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010557,Kota,"DCM Road","Plot 67, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,99
558,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010558,Jaipur,"Tonk Road","Plot 68, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,106
559,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010559,Sikar,"Nawalgarh Road","Plot 69, Main Market, Nawalgarh Road, Sikar, Rajasthan",Texture & Putty Specialist,113
560,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010560,Jhunjhunu,"Gugali Market","Plot 70, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,120
561,"Manu Marg Maruti Paints & Coating Traders",Dinesh Meena,+919414010561,Alwar,"Manu Marg","Plot 71, Main Market, Manu Marg, Alwar, Rajasthan",Hardware & Sanitary,127
562,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010562,Ajmer,"Parbatpura Industrial Area","Plot 72, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,134
563,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010563,Kota,"DCM Road","Plot 73, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,141
564,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010564,Jaipur,"Vaishali Nagar","Plot 74, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,148
565,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010565,Sikar,"Salasar Bus Stand Market","Plot 75, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Paint Retailer,155
566,"Mittal Balaji Color World",Ashok Mittal,+919414010566,Jhunjhunu,"Mandawa Road","Plot 76, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,162
567,"MIA Industrial Area Vijay Paint & Plywood Stores",Kamal Verma,+919414010567,Alwar,"MIA Industrial Area","Plot 77, Main Market, MIA Industrial Area, Alwar, Rajasthan",Building Material Stockist,169
568,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010568,Ajmer,"Parbatpura Industrial Area","Plot 78, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,176
569,"Gopal National Hardware & Paints",Gopal Sharma,+919414010569,Kota,"DCM Road","Plot 79, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,183
570,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010570,Jaipur,"Mansarovar","Plot 80, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,190
571,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010571,Sikar,"Kotwali Market","Plot 81, Main Market, Kotwali Market, Sikar, Rajasthan",Hardware & Sanitary,197
572,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010572,Jhunjhunu,"Road No 1","Plot 82, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,204
573,"Bhiwadi Alwar Bypass Hardware & Building Materials",Mukesh Gupta,+919414010573,Alwar,"Bhiwadi Alwar Bypass","Plot 83, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Exclusive Coating Dealer,211
574,"Yadav Krishna Paint House",Ramesh Yadav,+919414010574,Ajmer,"Parbatpura Industrial Area","Plot 84, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,218
575,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010575,Kota,"DCM Road","Plot 85, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,225
576,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010576,Jaipur,"Malviya Nagar","Plot 86, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,232
577,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010577,Sikar,"Piprali Road","Plot 87, Main Market, Piprali Road, Sikar, Rajasthan",Building Material Stockist,239
578,"Jain Laxmi Paint Center",Pankaj Jain,+919414010578,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 88, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,246
579,"Neemrana Industrial Zone Royal Paints & Texture Mart",Vinod Prajapat,+919414010579,Alwar,"Neemrana Industrial Zone","Plot 89, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Texture & Putty Specialist,253
580,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010580,Ajmer,"Parbatpura Industrial Area","Plot 90, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,260
581,"Ashok Balaji Color World",Ashok Mittal,+919414010581,Kota,"DCM Road","Plot 91, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,267
582,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010582,Jaipur,"Sanganer Market","Plot 92, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,274
583,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010583,Sikar,"Fatehpur Road","Plot 93, Main Market, Fatehpur Road, Sikar, Rajasthan",Exclusive Coating Dealer,281
584,"Sharma National Hardware & Paints",Gopal Sharma,+919414010584,Jhunjhunu,"Peeru Singh Circle","Plot 94, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,288
585,"Delhi Gate Paint & Hardware Store",Rajesh Sharma,+919414010585,Alwar,"Delhi Gate","Plot 95, Main Market, Delhi Gate, Alwar, Rajasthan",Paint Retailer,295
586,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010586,Ajmer,"Parbatpura Industrial Area","Plot 96, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,302
587,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010587,Kota,"DCM Road","Plot 97, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,309
588,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010588,Jaipur,"Tonk Road","Plot 98, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,316
589,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010589,Sikar,"Bajoria Road","Plot 99, Main Market, Bajoria Road, Sikar, Rajasthan",Texture & Putty Specialist,323
590,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010590,Jhunjhunu,"Gugali Market","Plot 100, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,330
591,"Hope Circus Maruti Paints & Coating Traders",Dinesh Meena,+919414010591,Alwar,"Hope Circus","Plot 101, Main Market, Hope Circus, Alwar, Rajasthan",Hardware & Sanitary,337
592,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010592,Ajmer,"Parbatpura Industrial Area","Plot 102, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,344
593,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010593,Kota,"DCM Road","Plot 103, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,351
594,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010594,Jaipur,"Vaishali Nagar","Plot 104, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,358
595,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010595,Sikar,"Station Road","Plot 105, Main Market, Station Road, Sikar, Rajasthan",Paint Retailer,365
596,"Mittal Balaji Color World",Ashok Mittal,+919414010596,Jhunjhunu,"Mandawa Road","Plot 106, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,372
597,"Company Bagh Road Vijay Paint & Plywood Stores",Kamal Verma,+919414010597,Alwar,"Company Bagh Road","Plot 107, Main Market, Company Bagh Road, Alwar, Rajasthan",Building Material Stockist,379
598,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010598,Ajmer,"Parbatpura Industrial Area","Plot 108, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,386
599,"Gopal National Hardware & Paints",Gopal Sharma,+919414010599,Kota,"DCM Road","Plot 109, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,393
600,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010600,Jaipur,"Mansarovar","Plot 110, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,50
601,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010601,Sikar,"Nawalgarh Road","Plot 111, Main Market, Nawalgarh Road, Sikar, Rajasthan",Hardware & Sanitary,57
602,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010602,Jhunjhunu,"Road No 1","Plot 112, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,64
603,"Manu Marg Hardware & Building Materials",Mukesh Gupta,+919414010603,Alwar,"Manu Marg","Plot 113, Main Market, Manu Marg, Alwar, Rajasthan",Exclusive Coating Dealer,71
604,"Yadav Krishna Paint House",Ramesh Yadav,+919414010604,Ajmer,"Parbatpura Industrial Area","Plot 114, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,78
605,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010605,Kota,"DCM Road","Plot 115, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,85
606,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010606,Jaipur,"Malviya Nagar","Plot 116, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,92
607,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010607,Sikar,"Salasar Bus Stand Market","Plot 117, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Building Material Stockist,99
608,"Jain Laxmi Paint Center",Pankaj Jain,+919414010608,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 118, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,106
609,"MIA Industrial Area Royal Paints & Texture Mart",Vinod Prajapat,+919414010609,Alwar,"MIA Industrial Area","Plot 119, Main Market, MIA Industrial Area, Alwar, Rajasthan",Texture & Putty Specialist,113
610,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010610,Ajmer,"Parbatpura Industrial Area","Plot 120, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,120
611,"Ashok Balaji Color World",Ashok Mittal,+919414010611,Kota,"DCM Road","Plot 121, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,127
612,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010612,Jaipur,"Sanganer Market","Plot 122, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,134
613,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010613,Sikar,"Kotwali Market","Plot 123, Main Market, Kotwali Market, Sikar, Rajasthan",Exclusive Coating Dealer,141
614,"Sharma National Hardware & Paints",Gopal Sharma,+919414010614,Jhunjhunu,"Peeru Singh Circle","Plot 124, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,148
615,"Bhiwadi Alwar Bypass Paint & Hardware Store",Rajesh Sharma,+919414010615,Alwar,"Bhiwadi Alwar Bypass","Plot 125, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Paint Retailer,155
616,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010616,Ajmer,"Parbatpura Industrial Area","Plot 126, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,162
617,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010617,Kota,"DCM Road","Plot 127, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,169
618,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010618,Jaipur,"Tonk Road","Plot 128, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,176
619,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010619,Sikar,"Piprali Road","Plot 129, Main Market, Piprali Road, Sikar, Rajasthan",Texture & Putty Specialist,183
620,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010620,Jhunjhunu,"Gugali Market","Plot 130, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,190
621,"Neemrana Industrial Zone Maruti Paints & Coating Traders",Dinesh Meena,+919414010621,Alwar,"Neemrana Industrial Zone","Plot 131, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Hardware & Sanitary,197
622,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010622,Ajmer,"Parbatpura Industrial Area","Plot 132, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,204
623,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010623,Kota,"DCM Road","Plot 133, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,211
624,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010624,Jaipur,"Vaishali Nagar","Plot 134, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,218
625,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010625,Sikar,"Fatehpur Road","Plot 135, Main Market, Fatehpur Road, Sikar, Rajasthan",Paint Retailer,225
626,"Mittal Balaji Color World",Ashok Mittal,+919414010626,Jhunjhunu,"Mandawa Road","Plot 136, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,232
627,"Delhi Gate Vijay Paint & Plywood Stores",Kamal Verma,+919414010627,Alwar,"Delhi Gate","Plot 137, Main Market, Delhi Gate, Alwar, Rajasthan",Building Material Stockist,239
628,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010628,Ajmer,"Parbatpura Industrial Area","Plot 138, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,246
629,"Gopal National Hardware & Paints",Gopal Sharma,+919414010629,Kota,"DCM Road","Plot 139, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,253
630,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010630,Jaipur,"Mansarovar","Plot 140, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,260
631,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010631,Sikar,"Bajoria Road","Plot 141, Main Market, Bajoria Road, Sikar, Rajasthan",Hardware & Sanitary,267
632,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010632,Jhunjhunu,"Road No 1","Plot 142, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,274
633,"Hope Circus Hardware & Building Materials",Mukesh Gupta,+919414010633,Alwar,"Hope Circus","Plot 143, Main Market, Hope Circus, Alwar, Rajasthan",Exclusive Coating Dealer,281
634,"Yadav Krishna Paint House",Ramesh Yadav,+919414010634,Ajmer,"Parbatpura Industrial Area","Plot 144, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,288
635,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010635,Kota,"DCM Road","Plot 145, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,295
636,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010636,Jaipur,"Malviya Nagar","Plot 146, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,302
637,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010637,Sikar,"Station Road","Plot 147, Main Market, Station Road, Sikar, Rajasthan",Building Material Stockist,309
638,"Jain Laxmi Paint Center",Pankaj Jain,+919414010638,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 148, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,316
639,"Company Bagh Road Royal Paints & Texture Mart",Vinod Prajapat,+919414010639,Alwar,"Company Bagh Road","Plot 149, Main Market, Company Bagh Road, Alwar, Rajasthan",Texture & Putty Specialist,323
640,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010640,Ajmer,"Parbatpura Industrial Area","Plot 150, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,330
641,"Ashok Balaji Color World",Ashok Mittal,+919414010641,Kota,"DCM Road","Plot 151, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,337
642,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010642,Jaipur,"Sanganer Market","Plot 152, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,344
